work_id,work_name,work_style,artist_name,artist_nationality,artist_style,artist_birth,artist_death,work_subject
160228,Still Life with Flowers and a Watch,Baroque,Abraham Mignon,Dutch,Baroque,1640,1679,Still-Life
160236,Still Life with Fruit and a Beaker on a Cock's Foot,Baroque,Abraham Mignon,Dutch,Baroque,1640,1679,Still-Life
160244,Still Life with Fruit and a Goldfinch,Baroque,Abraham Mignon,Dutch,Baroque,1640,1679,Still-Life
160252,Still Life with Fruit and Oysters,Baroque,Abraham Mignon,Dutch,Baroque,1640,1679,Still-Life
160260,"Still Life with Fruit, Oysters, and a Porcelain Bowl",Baroque,Abraham Mignon,Dutch,Baroque,1640,1679,Still-Life
160268,The Overturned Bouquet,Baroque,Abraham Mignon,Dutch,Baroque,1640,1679,Still-Life
125752,Arabian Horses at Pasture,Baroque,Albrecht Adam,German,Baroque,1786,1862,Horses
125818,Count Halm on His Basedow Estate,Baroque,Albrecht Adam,German,Baroque,1786,1862,
23448,Horses at the Porch,Baroque,Albrecht Adam,German,Baroque,1786,1862,Horses
125763,Napoleon Before the Burning City of Smolensk,Baroque,Albrecht Adam,German,Baroque,1786,1862,Horses
125774,Peasants Resting in the Field,Baroque,Albrecht Adam,German,Baroque,1786,1862,
125785,Portrait Oberleutnant Theodor Von Klein,Baroque,Albrecht Adam,German,Baroque,1786,1862,
125796,The Rescue of Count Munnich,Baroque,Albrecht Adam,German,Baroque,1786,1862,
125807,The Stable Yard,Baroque,Albrecht Adam,German,Baroque,1786,1862,
24532,Jacob A. Stamler Departing Le Havre,,Édouard Adam,American,Marine Art,1847,1929,Marine Art/Maritime
124470,Kaleda off Le Havre,,Édouard Adam,American,Marine Art,1847,1929,Marine Art/Maritime
124479,R. Bell &amp; Co. Steamship Bothal in a Heavy Swell,,Édouard Adam,American,Marine Art,1847,1929,Marine Art/Maritime
124488,Steam Sailing Ship Finsbury in a Stormy Sea,,Édouard Adam,American,Marine Art,1847,1929,Marine Art/Maritime
124497,The American Ship Olive S Southard in French Waters,,Édouard Adam,American,Marine Art,1847,1929,Marine Art/Maritime
124506,The Atalanta Running Under Reduced Sail in a Gale,,Édouard Adam,American,Marine Art,1847,1929,Marine Art/Maritime
124515,The Auxiliary Steamer County of Sutherland at Sea Under Steam and Sail,,Édouard Adam,American,Marine Art,1847,1929,Marine Art/Maritime
124524,The Auxiliary Steamer Rishanglys Calling for a Pilot Off a Headland,,Édouard Adam,American,Marine Art,1847,1929,Marine Art/Maritime
124533,The Barquentine Herdis of the American Star Line,,Édouard Adam,American,Marine Art,1847,1929,Marine Art/Maritime
124542,The First French Steam Battlefleet in Formation at Sea,,Édouard Adam,American,Marine Art,1847,1929,Marine Art/Maritime
124551,The French Brig Dieudonne in Full Sail Off a Headland,,Édouard Adam,American,Marine Art,1847,1929,Marine Art/Maritime
124560,The Full-Rigger King Ceolric Running Under Full Sail,,Édouard Adam,American,Marine Art,1847,1929,Marine Art/Maritime
124569,The Richard Rylands Passing the Fastnet Rock,,Édouard Adam,American,Marine Art,1847,1929,Marine Art/Maritime
124578,The Ship Jacob A. Stamler,,Édouard Adam,American,Marine Art,1847,1929,Marine Art/Maritime
124587,The Three-Master Hahnemann in Full Sail Off a Headland,,Édouard Adam,American,Marine Art,1847,1929,Marine Art/Maritime
135881,Comedian Tournelle,Neo-Classicism,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803,Portraits
135892,Madame de Genlis,Neo-Classicism,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803,Portraits
135903,Monsieur Meunier,Neo-Classicism,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803,Portraits
135914,Pierre Roch Vigneron,Neo-Classicism,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803,Portraits
135925,Portrait de Madame La Comtesse de Lameth,Neo-Classicism,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803,Portraits
135936,Portrait of a Man,Neo-Classicism,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803,Portraits
135947,Portrait of a Woman,Neo-Classicism,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803,Portraits
135958,Portrait of Gaspard Gilbert Delamalle,Neo-Classicism,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803,Portraits
31780,Portrait of Madame Labille-Guyard and Her Pupils,Neo-Classicism,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803,
135969,Portrait of the Duchesse D'Aiguillon,Neo-Classicism,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803,Portraits
31778,Portrait of the Painter Vincent,Neo-Classicism,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803,Portraits
135980,Self-Portrait,Neo-Classicism,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803,Portraits
147731,Jean-Dominique Fabry Garat Playing Lyre,,Adèle Romany,French,Portraitist,1769,1846,Musics
147742,Portrait d'Aglae´-Constance Boudard en Robe de Velours Rouge,,Adèle Romany,French,Portraitist,1769,1846,Portraits
147753,Portrait d'Ame´lie-Justine et de Charles-Edouard Pontois,,Adèle Romany,French,Portraitist,1769,1846,Portraits
147764,Portrait d'Ame´lie-Justine Laidin de la Bouterie,,Adèle Romany,French,Portraitist,1769,1846,Portraits
147815,Portrait de la Famille de l'Artiste Posant Devant le Cha^teau de Juilly,,Adèle Romany,French,Portraitist,1769,1846,Portraits
147797,Portrait of a Lady,,Adèle Romany,French,Portraitist,1769,1846,Portraits
147806,Portrait of a Mother and Child,,Adèle Romany,French,Portraitist,1769,1846,Portraits
147775,"Portrait of a Young Lady, seated in a White Dress Holding a Lyre",,Adèle Romany,French,Portraitist,1769,1846,Musics
147786,"Portrait of Auguste Vestris, French Dancer",,Adèle Romany,French,Portraitist,1769,1846,Dancers
24536,George Washington,,Adolph Ulrich Wertmuller,Swiss,Portraitist,1751,1811,Portraits
122171,Henri Bertholet Campan with His Dog Aline,,Adolph Ulrich Wertmuller,Swiss,Portraitist,1751,1811,Dogs
122182,Mrs. Sims of Philadelphia,,Adolph Ulrich Wertmuller,Swiss,Portraitist,1751,1811,Portraits
122193,Portrait of Mr. Lyttkens,,Adolph Ulrich Wertmuller,Swiss,Portraitist,1751,1811,Portraits
122204,Portrait of Stanislas de Clermont Tonnerre,,Adolph Ulrich Wertmuller,Swiss,Portraitist,1751,1811,Portraits
122215,Portrait of the Queen,,Adolph Ulrich Wertmuller,Swiss,Portraitist,1751,1811,Portraits
122224,Queen Marie Antoinette of France and Two of Her Children,,Adolph Ulrich Wertmuller,Swiss,Portraitist,1751,1811,Portraits
194065,"Barend Klijn Barendsz, Poet",,Adriaan De Lelie,Dutch,Portraitist,1755,1820,Portraits
194074,"Cornelis Sebille Roos, Amsterdam Art Dealer and Keeper of the Nationale Konst-Gallery in Huis ten Bosch, The Hague",,Adriaan De Lelie,Dutch,Portraitist,1755,1820,Portraits
194148,General Daendels Taking Leave of Lieutenant-Colonel Krayenhoff,,Adriaan De Lelie,Dutch,Portraitist,1755,1820,Portraits
194130,"Jonkheer Gysbert Carel Rutger Reinier van Brienen van Ramerus, with his Wife and four of their Children",,Adriaan De Lelie,Dutch,Portraitist,1755,1820,Portraits
194121,Morning Visit,,Adriaan De Lelie,Dutch,Portraitist,1755,1820,Portraits
